data_log,
157767,1
158279,1
158796,1
159308,1
159821,1
160333,1
160846,1
161358,1
161871,1
162383,1
162896,1
163408,1
163921,1
164433,1
164946,1
165458,1
165971,1
166483,1
166996,1
167508,1
168021,1
168533,1
169046,1
169558,1
170071,1
170583,1
171096,1
171608,1
172121,1
172633,1
173146,1
173658,1
174171,1
174683,1
175196,1
175708,1
176221,1
176739,1
177252,1
177764,1
178277,1
178789,1
179302,1
179814,1
180327,1
180838,1
181351,1
181863,1
182376,1
182888,1
183401,1
183913,1
184426,1
184942,1
185454,1
185966,1
186478,1
186991,1
187504,1
188016,1
188528,1
189040,1
189552,1
190064,1
190576,1
191088,1
191600,1
192112,1
192624,1
193136,1
193648,1
194160,1
194672,1
195184,1
195696,1
196208,1
196720,1
197232,1
197744,1
198255,1
198766,1
199277,1
199788,1
200300,1
200813,1
201326,1
201839,1
202352,1
202865,1
203378,1
203890,1
204402,1
204914,1
205426,1
205938,1
206451,1
206964,1
207476,1
207988,1
208500,1
209012,1
209524,1
210036,1
210548,1
211064,1
211577,1
212089,1
212602,1
213114,1
213627,1
214139,1
214652,1
215164,1
215677,1
216189,1
216702,1
217214,1
217727,1
218239,1
218752,1
219264,1
219777,1
220289,1
220802,1
221314,1
221827,1
222339,1
222852,1
223364,1
223877,1
224389,1
224902,1
225414,1
225927,1
226439,1
226952,1
227464,1
227977,1
228489,1
229002,1
229514,1
230027,1
230539,1
231052,1
231564,1
232077,1
232589,1
233102,1
233614,1
234127,1
234638,1
235151,1
235663,1
236176,1
236687,1
237199,1
237710,1
238223,1
238735,1
239248,1
239760,1
240273,1
240792,1
241305,1
241816,1
242329,1
242840,1
243353,1
243865,1
244378,1
244889,1
245402,1
245914,1
246427,1
246939,1
247452,1
247963,1
248476,1
248987,1
249500,1
250011,1
250524,1
251036,1
251549,1
252060,1
252573,1
253084,1
253597,1
254108,1
254621,1
255132,1
255645,1
256233,1
256746,1
257258,1
257770,1
258282,1
258795,1
259307,1
259819,1
260331,1
260844,1
261356,1
261868,1
262380,1
262893,1
263405,1
263922,1
264433,1
264946,1
265458,1
265971,1
266483,1
266996,1
267508,1
268021,1
268533,1
269046,1
269558,1
270071,1
270583,1
271096,1
271608,1
272121,1
272633,1
273146,1
273658,1
274171,1
274683,1
275196,1
275707,1
276220,1
276732,1
277245,1
277757,1
278270,1
278782,1
279295,1
279807,1
280320,1
280832,1
281345,1
281857,1
282370,1
282881,1
283394,1
283906,1
284419,1
284931,1
285444,1
285955,1
286468,1
286980,1
287493,1
288005,1
288518,1
289030,1
289543,1
290059,1
290572,1
291085,1
291597,1
292109,1
292621,1
293133,1
293645,1
294158,1
294671,1
295184,1
295697,1
296210,1
296722,1
297235,1
297747,1
298259,1
298771,1
299283,1
299795,1
300307,1
300819,1
301332,1
301844,1
302356,1
302868,1
303381,1
303893,1
304412,1
304924,1
305436,1
305948,1
306460,1
306972,1
307484,1
307996,1
308508,1
309021,1
309534,1
310046,1
310558,1
311070,1
311582,1
312094,1
312606,1
313118,1
313630,1
314141,1
314653,1
315165,1
315678,1
316194,1
316708,1
317220,1
317733,1
318245,1
318759,1
319271,404
319784,1
320296,1
320809,1
321321,1
321834,1
322346,1
322859,1
323371,1
323884,1
324396,1
324909,1
325421,1
325934,1
326446,1
326959,1
327471,404
327984,1
328496,1
329009,404
329521,1
330034,1
330546,404
331059,1
331571,1
332084,1
332596,1
333109,1
1958,1
2471,1
2983,1
3496,1
4008,1
4521,1
5033,1
5546,1
6058,1
6571,1
7083,1
7596,1
8108,1
8621,1
9133,1
9646,1
10158,1
10671,1
11183,1
11696,1
12212,1
12724,1
13236,1
13749,1
14261,1
14774,1
15287,1
15800,1
16312,1
16825,1
17337,1
17849,1
18362,1
18874,1
19387,1
19899,1
20411,1
20923,1
21436,1
21948,1
22460,1
22972,1
23485,1
23997,1
24509,1
25021,1
25533,1
26045,1
26557,1
27069,1
27581,1
28093,1
28605,1
29117,1
29629,1
30141,1
30653,1
31165,1
31677,1
32189,1
32701,1
33213,1
33725,1
34237,1
34749,1
35261,1
35774,1
36293,1
36805,1
37317,1
37829,1
38341,1
38853,1
39365,1
39877,1
40389,1
40901,1
41417,1
41930,1
42441,1
42954,1
43465,1
43978,1
44489,1
45002,1
45514,1
46027,1
46539,1
47050,1
47561,1
48072,1
48583,1
49096,1
49608,1
50121,1
50633,1
51146,1
51658,1
52171,1
52683,1
53196,1
53707,1
54220,1
54732,1
55245,1
55757,1
56270,1
56782,1
57295,1
57807,1
58320,1
58832,1
59345,1
59857,1
60370,1
60882,1
61395,1
61907,1
62420,1
62932,1
63445,1
63957,1
64470,1
64982,1
65495,1
66007,1
66520,1
67031,1
67544,1
68056,1
68569,1
69081,1
69594,1
70106,1
70623,1
71135,1
71648,1
72160,1
72672,1
73184,1
73697,1
74209,1
74722,1
75234,1
75746,1
76258,1
76770,1
77282,1
77795,1
78307,1
78820,1
79332,1
79844,1
80356,1
80869,1
81381,1
81893,1
82405,1
82918,1
83430,1
83943,1
84455,1
84968,1
85481,1
85994,1
86507,1
87020,1
87532,1
88045,1
88557,1
89069,1
89581,1
90094,1
90606,1
91118,1
91630,1
92142,1
92654,1
93166,1
93678,1
94190,1
94702,1
95214,1
95726,1
96238,1
96750,1
97262,1
97774,1
98286,1
98798,1
99311,1
99835,1
100347,1
100860,1
101371,1
101884,1
102395,1
102908,1
103419,1
103932,1
104520,1
105032,1
105544,1
106056,1
106568,1
107080,1
107592,1
108104,1
108616,1
109128,1
109640,1
110153,1
110665,1
111177,1
111689,1
112201,1
112713,1
113226,1
113738,1
114250,1
114763,1
115275,1
115787,1
116299,1
116811,1
117323,1
117835,1
118347,1
118859,1
119371,1
119883,1
120396,1
120908,1
121420,1
121933,1
122446,1
122958,1
123470,1
123983,1
124495,1
125007,1
125520,1
126036,1
126549,1
127061,1
127574,1
128086,1
128599,1
129111,1
129624,1
130136,1
130649,1
131161,1
131674,1
132186,1
132699,1
133211,1
133724,1
134236,1
134749,1
135261,1
135774,1
136286,1
136799,1
137311,1
137824,1
138336,1
138849,1
139361,1
139874,1
140386,1
140899,1
141411,1
141924,1
142436,1
142949,1
143461,1
143974,1
144486,1
144999,1
145511,1
146024,1
146536,1
147049,1
147561,1
148074,1
148586,1
149099,1
149610,1
150123,1
150635,1
151148,1
151660,1
152176,1
152688,1
153201,1
153714,1
154227,1
154740,1
155253,1
155766,1
156279,1
156792,1
1728,1
2241,1
2753,1
3265,1
3777,1
4289,1
4801,1
5313,1
5825,1
6336,1
6847,1
7358,1
7877,1
8389,1
8902,1
9415,1
9928,1
10441,1
10954,1
11467,1
11980,1
12493,1
1707,1
2220,1
2732,1
3244,1
3756,1
4268,1
4780,1
5292,1
5804,1
6316,1
6828,1
7340,1
7852,1
8364,1
8876,1
9388,1
9900,1
10412,1
10925,1
11437,1
11949,1
12461,1
12973,1
13485,1
13998,1
14510,1
15022,1
15535,1
16051,1
16564,1
17076,1
17589,1
18101,1
18614,1
19126,1
19640,1
20152,1
20665,1
21177,1
21691,1
22203,1
22716,1
1935,1
2448,1
2960,1
3473,1
3985,1
4498,1
5009,1
5522,1
6034,1
6547,1
7059,1
7572,1
8084,1
8597,1
9109,1
9622,1
10134,1
10647,1
11159,1
11672,1
12184,1
12697,1
13209,1
13722,1
14234,1
14747,1
15259,1
15772,1
16284,1
16797,1
17309,1
17822,1
18334,1
1968,1
2480,1
2993,1
3504,1
4017,1
4528,1
5041,1
5552,1
6065,1
6576,1
7089,1
7601,1
8114,1
8630,1
9142,1
9654,1
10167,1
10679,1
11192,1
11705,1
12218,1
12730,1
13243,1
13756,1
14269,1
14782,1
15295,1
15808,1
16321,1
16834,1
17347,1
17860,1
18373,1
18886,1
19398,1
19910,1
1732,1
2245,1
2757,1
3268,1
3786,1
4297,1
4808,1
5320,1
5832,1
6345,1
6857,1
7369,1
7881,1
8394,1
8906,1
9418,1
9930,1
10442,1
10954,1
11467,1
11979,1
12491,1
13003,1
13515,1
14027,1
14539,1
15052,1
15565,1
16078,1
16591,1
17104,1
17617,1
18130,1
18643,1
19156,1
19669,1
20185,1
20699,1
21211,1
21725,1
22237,1
1750,1
2262,1
2775,1
3286,1
3799,1
4311,1
4824,1
5336,1
5849,1
6361,1
6874,1
7385,1
7898,1
8410,1
8923,1
9434,1
9947,1
10459,1
10972,1
11484,1
11997,1
12509,1
13023,1
13535,1
14049,1
14561,1
15074,1
15586,1
16100,1
16612,1
17126,1
17638,1
18152,1
18664,1
19177,1
19689,1
20202,1
20714,1
21227,1
21739,1
22253,1
22765,1
23279,1
23791,1
